"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"1","rule27","unc_rawben_rel_max >= 1.845 & utilities < 625 & months_since_cert_n >= 4.5 & total_deductions < 880",4,"INCLUDE",0.877,0.088,1,122,66,56,0.541,0.083,0.099,8.11,0.067
"1","rule57","unc_rawben_rel_max < 1.626 & rawearn >= 288 & rawben_rel_max < 0.9702 & expedited_i %in% c(""TRUE"")",4,"INCLUDE",0.147,0.012,0.7,81,43,38,0.531,0.054,0.059,7.96,0.067
"1","rule209","rawunearn < 499.5 & unc_rawben_rel_max >= 1.757 & utilities < 474.5 & months_since_cert_n >= 2.5",4,"INCLUDE",7.822,0.89,1.3,156,72,84,0.462,0.091,0.11,6.92,0.067
"1","rule331","rawunearn < 2.5 & total_deductions >= 63.1 & months_since_cert_n >= 4.5 & utilities < 73",4,"INCLUDE",12.248,1.402,1.3,158,70,88,0.443,0.088,0.101,6.65,0.067
"1","rule654","unc_rawben_rel_max >= 1.757 & utilities < 578.5 & months_since_cert_n >= 3.5",3,"INCLUDE",7.731,0.999,1.7,202,88,114,0.436,0.111,0.131,6.53,0.067
"1","rule38","rawunearn < 369 & shelter_expenses >= 1022 & months_since_cert_n >= 4.5",3,"INCLUDE",2.88,0.42,2.2,259,100,159,0.386,0.126,0.139,5.79,0.067
"1","rule566","unc_rawben_rel_max >= 1.229 & rawgross < 26 & months_since_cert_n >= 4.5",3,"INCLUDE",10.546,1.926,3.5,411,140,271,0.341,0.177,0.206,5.11,0.067
"1","rule23","unc_rawben_rel_max >= 1.845 & utilities < 625",2,"INCLUDE",1.57,0.265,2.9,348,116,232,0.333,0.146,0.165,5,0.067
"1","rule456","rawunearn < 263.5 & cat_elig >= 0.5 & rawben_rel_max < 0.9773",3,"INCLUDE",2.108,0.469,5.2,621,197,424,0.317,0.248,0.225,4.76,0.067
"1","rule557","rawearn < 2591 & unc_rawben_rel_max >= 1.627 & utilities < 465.5",3,"INCLUDE",5.497,0.942,3,360,106,254,0.294,0.134,0.154,4.42,0.067
"1","rule5","rawunearn < 25.5 & total_deductions >= 57.1 & months_since_cert_n >= 3.5",3,"INCLUDE",6.209,1.688,8,956,278,678,0.291,0.351,0.376,4.36,0.067
"1","rule159","rawunearn < 495.5 & shelter_expenses >= 1208",2,"INCLUDE",1.9,0.349,3.5,416,120,296,0.288,0.151,0.162,4.33,0.067
"1","rule688","elderly_disabled_i %in% c(""FALSE"") & cat_elig >= 0.5 & unc_rawben_rel_max < 0.9698",3,"INCLUDE",1.184,0.276,5.8,688,195,493,0.283,0.246,0.224,4.25,0.067
"1","rule14","rawunearn < 369 & shelter_expenses >= 1098",2,"INCLUDE",0.845,0.168,4.1,493,139,354,0.282,0.175,0.186,4.23,0.067
"1","rule136","unc_rawben_rel_max < 1.627 & rawearn >= 266.5 & rawben_rel_max < 0.9702",3,"INCLUDE",10.227,2.572,6.8,807,226,581,0.28,0.285,0.25,4.2,0.067
"1","rule75","rawunearn < 499.5 & total_deductions >= 63.1 & months_since_cert_n >= 3.5",3,"INCLUDE",5.164,1.54,9.9,1173,303,870,0.258,0.382,0.412,3.87,0.067
"1","rule540","rawunearn < 718 & months_since_cert_n >= 4.5 & total_deductions >= 29.5",3,"INCLUDE",5.857,1.732,9.7,1152,275,877,0.239,0.347,0.372,3.58,0.067
"1","rule437","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 5.5",2,"INCLUDE",3.249,1.003,10.7,1268,249,1019,0.196,0.314,0.338,2.95,0.067
"1","rule656","rawunearn < 370.5 & cat_elig >= 0.5",2,"INCLUDE",7.77,3.708,35.1,4171,598,3573,0.143,0.754,0.802,2.15,0.067
"1","rule491","elderly_disabled_i %in% c(""FALSE"") & cat_elig >= 0.5",2,"INCLUDE",6.202,2.902,32.3,3848,552,3296,0.143,0.696,0.739,2.15,0.067
"1","rule145","rawunearn < 370.5 & shelter_expenses < 1208 & unc_rawben_rel_max >= 0.9433",3,"INCLUDE",-4.408,2.07,32.8,3902,350,3552,0.09,0.441,0.493,1.35,0.067
"1","rule629","shelter_expenses < 1907 & unc_rawben_rel_max < 2.514",2,"SKIP",-1.001,0.127,98.4,11701,736,10965,0.063,0.928,0.917,0.94,0.067
"1","rule506","unc_rawben_rel_max < 1.868 & shelter_expenses < 2007",2,"SKIP",-5.921,1.376,94.3,11214,611,10603,0.054,0.77,0.744,0.82,0.067
