"f_min","budget","n_states","median_precision_diff","median_dollar_recall_unw_diff","median_dollar_recall_wtd_diff","median_fill_rate","median_walk_depth","median_errors_diff","n_used_completion","n_window_redone"
0.25,5,49,0,0,0,0.854922279792746,1213,0,0,0
0.25,10,49,-0.000440917107583816,0,0,0.916870415647922,3573,0,0,0
0.4,5,49,0.012987012987013,0,0,0.834355828220859,1419,0,0,0
0.4,10,49,0.00450450450450449,-0.00434688892082194,-0.0040136829281513,0.906077348066298,5462,0,0,1
0.5,5,49,0.0117810117810118,0,0,0.834355828220859,1710,0,0,0
0.5,10,49,0.00609756097560976,-0.00181702552920868,-0.00195719644056372,0.896637608966376,6956,0,0,3
0.55,5,49,0.0107142857142857,0,0,0.847651775486827,2002,0,0,0
0.55,10,49,-0.00273619829389987,-0.0157866614854034,-0.0157210360255998,0.899532710280374,8726,-1,0,12
0.6,5,49,0.0260869565217391,-0.00118077245372133,-0.00133783811382472,0.8,2076,0,0,0
0.6,10,49,0,-0.0157866614854034,-0.0159452812161143,0.911214953271028,9722,-1,0,14
0.65,5,49,0.0261437908496732,-0.00529605420105922,-0.00718409672805058,0.778923253150057,2390,0,0,0
0.65,10,49,0.00976169968418034,-0.0188618925831202,-0.0143902023516222,0.904925544100802,11557,0,0,22
0.7,5,49,0.0209523809523809,-0.00135972201238858,-0.000693036302308173,0.801944106925881,2732,0,0,0
0.7,10,49,0.00850906400295964,-0.026001804752515,-0.0205997821387099,0.808709175738725,13924,-1,0,31
0.75,5,49,0.0144702842377261,-0.00339524665468345,-0.00739870699904543,0.801944106925881,3058,0,0,0
0.75,10,49,0.00716379029632043,-0.00872639398550076,-0.0162535097968155,0.868571428571429,15513,0,0,36
