"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule4594","rawgross < 4 & count_divisible_by_100 >= 0.5 & shelter_expenses < 79.5",3,"INCLUDE",-1.267,0.04,0.1,12,8,4,0.667,0.01,0.01,10,0.067,"earned_overissuance"
"1","rule1883","rawunearn < 27.5 & rawben_rel_max < 0.9584 & expedited_i %in% c(""TRUE"") & shelter_expenses < 877",4,"INCLUDE",-0.923,0.056,0.4,44,27,17,0.614,0.034,0.038,9.2,0.067,"earned_overissuance"
"1","rule913","rawearn >= 593 & unc_rawben_rel_max < 0.9737 & rawben_rel_max < 0.3295 & expedited_i %in% c(""TRUE"")",4,"INCLUDE",-0.262,0.012,0.2,25,15,10,0.6,0.019,0.024,9,0.067,"earned_overissuance"
"1","rule1598","rawearn >= 676.5 & rawben_rel_max < 0.5178 & expedited_i %in% c(""TRUE"")",3,"INCLUDE",-0.439,0.024,0.3,36,21,15,0.583,0.026,0.031,8.75,0.067,"earned_overissuance"
"1","rule589","rawunearn < 497.5 & unc_rawben_rel_max >= 1.848 & shelter_expenses < 606",3,"INCLUDE",-0.214,0.009,0.2,19,11,8,0.579,0.014,0.015,8.68,0.067,"earned_overissuance"
"1","rule2771","rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974",4,"INCLUDE",-0.892,0.066,0.6,66,34,32,0.515,0.043,0.034,7.73,0.067,"earned_overissuance"
"1","rule5002","total_deductions < 799.5 & count_divisible_by_100 < 1.5 & unc_rawben_rel_max >= 1.471 & shelter_expenses < 303.5",4,"INCLUDE",-0.264,0.01,0.2,18,9,9,0.5,0.011,0.012,7.5,0.067,"earned_overissuance"
"1","rule3877","unc_rawben_rel_max >= 1.986 & shelter_expenses >= 1407",2,"INCLUDE",-0.164,0.008,0.3,32,15,17,0.469,0.019,0.019,7.03,0.067,"earned_overissuance"
"1","rule1254","rawunearn < 492.5 & unc_rawben_rel_max < 0.7526 & months_since_cert_n >= 8.5",3,"INCLUDE",-0.242,0.022,0.8,97,45,52,0.464,0.057,0.053,6.96,0.067,"earned_overissuance"
"1","rule183","rawearn >= 683 & rawben_rel_max >= 0.376 & unc_rawben_rel_max < 0.8238",3,"INCLUDE",-0.014,0.002,1.9,228,102,126,0.447,0.129,0.096,6.71,0.067,"earned_overissuance"
