"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","rawben_rel_max > 0.285 & unc_rawben_rel_max <= 1.11 & utilities <= 12.5","1","state","ranger","any_error",31,0.8065,0.602,128.81,0.0323,0.04,0.0323,31,31,669,"unearned income 0.24; shelter deduction 0.23; utility allowance 0.20; earned income 0.19","wrong include/exclude decision 0.46; wrong amount, known item 0.18; unreported source of income 0.14",0.365758754863813,0.799701046337818,0.574902723735409,0.53988326848249
2,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 347 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 130","2-3","national","ranger","any_error",70,0.7143,0.5769,166.06,0,0,0,1,1,50,"shelter deduction 0.55; medical deduction 0.16; unearned income 0.11","wrong amount, known item 0.41; wrong include/exclude decision 0.41",0.315068493150685,0.98,0.712328767123288,0.547945205479452
3,"core","expedited_i <= 0 & total_deductions_by_hh_size > 810 & unc_rawben_rel_max > 0.997 & unc_rawben_rel_max <= 1.03","1","state","ranger","any_error",31,0.7742,0.5672,121.77,0,0,0,31,28,160,"shelter deduction 0.44; unearned income 0.29; medical deduction 0.15","wrong include/exclude decision 0.50; wrong amount, known item 0.24; unreported source of income 0.13",0.388646288209607,1,0.602620087336245,0.560869565217391
4,"core","elderly_disabled_i >= 1 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1 & utilities > 477","2-3","national","ranger","any_error",61,0.7049,0.557,143.7,0,0,0,2,1,43,"shelter deduction 0.60; medical deduction 0.16","wrong amount, known item 0.43; wrong include/exclude decision 0.36",0.344827586206897,0.976744186046512,0.706896551724138,0.568965517241379
5,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,12,11,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
6,"core","months_since_cert_n <= 6.5 & shelter_expenses_by_hh_size > 304 & shelter_expenses_by_hh_size <= 599 & unc_rawben_rel_max <= 0.73","4+","state","ranger","any_error",31,0.6774,0.4689,115.81,0,0,0,31,31,404,"earned income 0.36; shelter deduction 0.22; unearned income 0.20","wrong amount, known item 0.36; wrong include/exclude decision 0.24; unreported source of income 0.11; method or computation 0.09",0.416398713826367,0.675742574257426,0.729903536977492,0.5824
7,"core","months_since_cert_n <= 20 & total_deductions_by_hh_size > 658 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 131","2-3","national","ranger","any_error",144,0.5556,0.459,119.19,0,0,0,3,3,80,"shelter deduction 0.34; medical deduction 0.20; unearned income 0.19; earned income 0.16","wrong include/exclude decision 0.38; wrong amount, known item 0.36; unreported source of income 0.09",0.3125,0.9375,0.671875,0.5
8,"core","count_divisible_by_100 < 2 & medical_deductions >= 311 & rawben_rel_max >= 0.804","2-3","national","xgboost","any_error",30,0.6667,0.4552,156.43,0,0,0,1,1,20,"medical deduction 0.50; shelter deduction 0.22; unearned income 0.14","wrong include/exclude decision 0.64; wrong amount, known item 0.17",0.555555555555556,0.95,0.583333333333333,0.805555555555556
9,"core","total_deductions_by_hh_size > 523 & unc_rawben_rel_max > 0.975 & unc_rawben_rel_max <= 1 & utilities > 27.5","2-3","national","ranger","any_error",63,0.5873,0.4418,163.22,0.0159,0,0,2,1,37,"shelter deduction 0.43; dep care or child support deduction 0.22; medical deduction 0.17","wrong amount, known item 0.39; wrong include/exclude decision 0.35; method or computation 0.11",0.37037037037037,0.972972972972973,0.740740740740741,0.555555555555556
10,"core","expedited_i <= 0 & gross_by_hh_size > 446 & shelter_expenses_by_hh_size <= 550 & total_deductions_by_hh_size > 252","4+","state","ranger","any_error",31,0.6452,0.4379,125.84,0,0,0,31,16,317,"earned income 0.36; dep care or child support deduction 0.19; shelter deduction 0.19","wrong amount, known item 0.36; wrong include/exclude decision 0.28; unreported source of income 0.10; method or computation 0.07",0.401980198019802,0.719242902208202,0.689108910891089,0.568897637795276
