"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national","ranger","any_error",119,0.6639,0.558,115.24,2,2,1,"core"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size >  14.50 & unc_rawben_rel_max >   1.93 & utilities <= 302.00","1","national","ranger","any_error",33,0.7576,0.5564,128.33,1,1,2,"core"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,150.91,9,9,3,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national","ranger","any_error",159,0.6101,0.5179,106.44,5,4,4,"core"
"months_since_cert_n >   0.500 & rawben_rel_max <=   0.775 & unc_rawben_rel_max >   0.627 & utilities > 254.000","4+","state","ranger","any_error",33,0.697,0.4945,179.58,33,33,5,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & total_deductions_by_hh_size > 348.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",54,0.6481,0.4899,148.78,2,2,6,"core"
"cat_elig <= 1.500 & HH_size_n > 4.500 & rawben_rel_max > 0.355 & unc_rawben_rel_max <= 0.845","4+","state","ranger","any_error",36,0.6667,0.4731,172.06,36,18,7,"core"
"rawben_rel_max >   0.235 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size >  72.000 & utilities <= 410.000","1","state","ranger","any_error",31,0.6774,0.4689,90.39,31,25,8,"core"
"months_since_cert_n >=   9.500 & rawben_rel_max >=   0.996 & unc_rawben_rel_max >=   1.630 & utilities >= 420.000","2-3","national","xgboost","any_error",33,0.6667,0.4647,203.42,2,2,9,"core"
"elderly_disabled_i >    0.500 & rawben_rel_max <=    0.995 & shelter_expenses_by_hh_size > 2490.000 & unc_rawben_rel_max <=    1.790","1","national","ranger","any_error",33,0.6364,0.4356,100.36,1,1,10,"core"
"elderly_disabled_i >=   0.50 & shelter_expenses_by_hh_size < 676.00 & unc_rawben_rel_max >=   1.81 & utilities < 583.00","1","national","xgboost","any_error",96,0.5521,0.4344,95.52,7,7,11,"core"
"children_i <=   0.500 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 361.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",51,0.5882,0.4271,110.43,2,1,12,"core"
"cat_elig >    0.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1410.000","2-3","national","ranger","any_error",30,0.6333,0.4235,191,1,1,13,"core"
"medical_deductions <= 144.00 & shelter_expenses_by_hh_size >   5.50 & unc_rawben_rel_max >   1.95 & utilities <= 294.00","1","national","ranger","any_error",64,0.5625,0.419,102,2,1,14,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national","ranger","any_error",114,0.5263,0.4188,96.17,2,1,15,"core"
"children_i <= 0.500 & rawben_rel_max <= 0.996 & unc_rawben_rel_max > 0.994","2-3","national","ranger","any_error",42,0.5952,0.4182,122.88,2,1,16,"core"
"months_since_cert_n >   4.500 & rawben_rel_max <=   0.992 & total_deductions_by_hh_size > 355.000","2-3","state","ranger","any_error",46,0.587,0.4178,128,46,38,17,"core"
"total_deductions_by_hh_size >   7.80 & total_deductions_by_hh_size <= 752.00 & unc_rawben_rel_max >   1.93 & utilities <= 466.00","1","national","ranger","any_error",49,0.5714,0.4081,80.2,5,3,18,"core"
"count_divisible_by_100 <=   0.500 & medical_deductions <= 132.000 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 761.000","2-3","state","ranger","any_error",31,0.6129,0.4076,159,31,17,19,"core"
"medical_deductions >= 132.00 & total_deductions_by_hh_size >=   2.70 & unc_rawben_rel_max >=   2.55","1","national","xgboost","any_error",33,0.6061,0.4071,124.61,2,2,20,"core"
"months_since_cert_n >=  11.50 & unc_rawben_rel_max >=   1.88 & utilities < 372.00","1","national","xgboost","any_error",35,0.6,0.4069,103.43,1,1,21,"core"
"rawben_rel_max >=   0.987 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 850.000 & utilities < 576.000","1","national","xgboost","any_error",353,0.4674,0.4066,70.16,21,18,22,"core"
"months_since_cert_n >=   2.500 & rawben_rel_max >=   0.972 & unc_rawben_rel_max >=   1.690 & utilities >= 411.000","2-3","national","xgboost","any_error",101,0.5149,0.4014,156.93,4,2,23,"core"
"medical_deductions >= 200.000 & medical_deductions < 299.000 & rawben_rel_max >=   0.435 & utilities < 578.000","2-3","national","xgboost","any_error",30,0.6,0.3926,93,2,1,24,"core"
"months_since_cert_n >   1.500 & rawben_rel_max <=   0.776 & total_deductions_by_hh_size > 180.000 & unc_rawben_rel_max >   0.138","4+","state","ranger","any_error",47,0.5532,0.3879,161.11,47,25,25,"core"
"months_since_cert_n >=   5.50 & total_deductions_by_hh_size >= 184.00 & unc_rawben_rel_max >=   1.88 & utilities < 346.00","1","national","xgboost","any_error",108,0.4907,0.382,94.16,5,3,26,"core"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 622.000 & unc_rawben_rel_max >   0.776 & utilities <=  32.500","1","national","ranger","any_error",175,0.4629,0.3776,85.33,4,2,27,"core"
"HH_size_n >=   4.5 & shelter_expenses_by_hh_size >= 229.0 & shelter_expenses_by_hh_size < 274.0 & total_deductions_by_hh_size >= 219.0","4+","national","xgboost","any_error",55,0.5273,0.3754,105.62,1,1,28,"core"
"elderly_disabled_i >   0.500 & medical_deductions > 369.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max <=   0.991","1","national","ranger","any_error",71,0.507,0.3735,102.38,1,1,29,"buffer"
"rawben_rel_max >    0.994 & rawben_rel_max <=    0.997 & total_deductions_by_hh_size >  310.000 & utilities <= 1050.000","2-3","national","ranger","any_error",71,0.507,0.3735,110.92,2,1,30,"buffer"
"rawben_rel_max >   0.994 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 235.000","2-3","national","ranger","any_error",60,0.5167,0.3716,95.95,2,1,31,"buffer"
"shelter_expenses_by_hh_size < 960.00 & unc_rawben_rel_max >=   1.96 & utilities < 684.00","1","national","xgboost","any_error",228,0.443,0.3687,69.82,9,5,32,"buffer"
"HH_size_n >=   4.500 & rawben_rel_max >=   0.871 & rawben_rel_max <   0.883 & utilities >= 369.000","4+","national","xgboost","any_error",56,0.5179,0.368,96.54,1,1,33,"buffer"
"expedited_i <=   0.5 & medical_deductions > 508.0 & months_since_cert_n <=   6.5 & total_deductions_by_hh_size >  33.0","2-3","national","ranger","any_error",34,0.5588,0.3666,108.79,2,1,34,"buffer"
"rawben_rel_max >   0.997 & shelter_expenses_by_hh_size <= 679.000 & total_deductions_by_hh_size > 638.000 & unc_rawben_rel_max >   1.100","2-3","national","ranger","any_error",54,0.5185,0.366,140.76,1,1,35,"buffer"
"months_since_cert_n >=   6.50 & unc_rawben_rel_max >=   1.79 & utilities < 466.00","1","national","xgboost","any_error",358,0.4246,0.3654,80.81,38,25,36,"buffer"
"elderly_disabled_i <   0.500 & months_since_cert_n >=   5.500 & rawben_rel_max <   0.829 & utilities >= 451.000","2-3","state","xgboost","any_error",32,0.5625,0.3646,116.19,32,17,37,"buffer"
"elderly_disabled_i >   0.50 & medical_deductions <= 282.00 & unc_rawben_rel_max >   1.26 & utilities <=  29.50","1","national","ranger","any_error",182,0.4451,0.3622,81.87,4,2,38,"buffer"
"children_i >  0.500 & elderly_disabled_i >  0.500 & unc_rawben_rel_max > -0.447","1","national","ranger","any_error",37,0.5405,0.3573,105.03,1,1,39,"buffer"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 765.00 & unc_rawben_rel_max >=   1.51 & utilities < 470.00","1","national","xgboost","any_error",335,0.4119,0.3513,73.91,18,11,40,"buffer"
"HH_size_n >=   4.5 & total_deductions_by_hh_size >= 364.0","4+","national","xgboost","any_error",61,0.4918,0.3498,97.74,1,1,41,"buffer"
"married >   0.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size > 187.0 & total_deductions_by_hh_size <= 626.0","2-3","state","ranger","any_error",40,0.525,0.3496,116.83,40,23,42,"buffer"
"rawben_rel_max <   0.834 & shelter_expenses_by_hh_size >= 378.000 & shelter_expenses_by_hh_size < 607.000 & total_deductions_by_hh_size >= 627.000","2-3","national","xgboost","any_error",40,0.525,0.3496,101.6,1,1,43,"buffer"
"HH_size_n >=   4.5 & months_since_cert_n >=   4.5 & shelter_expenses_by_hh_size >= 159.0","4+","state","xgboost","any_error",45,0.5111,0.3462,185.91,45,24,44,"buffer"
