"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national",119,0.6639,0.558,1,"core"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size >  14.50 & unc_rawben_rel_max >   1.93 & utilities <= 302.00","1","national",33,0.7576,0.5564,2,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national",137,0.6423,0.5433,3,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national",159,0.6101,0.5179,4,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 371.000","2-3","national",35,0.7143,0.5178,5,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national",31,0.7097,0.5008,6,"core"
"medical_deductions > 206 & total_deductions_by_hh_size > 662 & utilities <= 696","2-3","national",33,0.697,0.4945,7,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 360.000","1","national",144,0.5694,0.4727,8,"core"
"count_divisible_by_100 <   1 & medical_deductions >= 144 & shelter_expenses_by_hh_size < 731 & total_deductions_by_hh_size >= 511","2-3","national",47,0.6383,0.469,9,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national",35,0.6571,0.4612,10,"core"
"rawben_rel_max >    0.987 & shelter_expenses_by_hh_size > 1660.000 & unc_rawben_rel_max <=    0.998","1","national",52,0.6154,0.4548,11,"core"
"children_i <=   0.5 & shelter_expenses_by_hh_size <= 679.0 & total_deductions_by_hh_size > 615.0","2-3","national",36,0.6389,0.4462,12,"core"
"elderly_disabled_i > 0.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.995","2-3","national",72,0.5694,0.4336,13,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national",105,0.5429,0.4305,14,"core"
"shelter_expenses_by_hh_size <= 455.0 & total_deductions_by_hh_size > 442.0 & unc_rawben_rel_max <=   0.8","4+","national",41,0.6098,0.4299,15,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national",296,0.4932,0.4264,16,"core"
"months_since_cert_n >=  10.000 & total_deductions_by_hh_size >= 835.000 & unc_rawben_rel_max >=  -0.708","2-3","national",30,0.6333,0.4235,17,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national",114,0.5263,0.4188,18,"core"
"medical_deductions >=   5.000 & medical_deductions <   7.000 & rawben_rel_max <   0.753 & utilities >= 347.000","1","national",40,0.6,0.4186,19,"core"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national",110,0.5273,0.4179,20,"core"
"shelter_expenses_by_hh_size <= 1010.00 & total_deductions_by_hh_size >  471.00 & unc_rawben_rel_max >    1.72 & utilities >  490.00","2-3","national",65,0.5538,0.4119,21,"core"
"months_since_cert_n >=  11 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 261","4+","national",43,0.5814,0.4071,22,"core"
"medical_deductions >= 314.000 & rawben_rel_max >=   0.534 & total_deductions_by_hh_size >= 388.000 & utilities < 735.000","2-3","national",37,0.5946,0.4068,23,"core"
"rawben_rel_max >    0.0441 & total_deductions_by_hh_size >  468.0000 & total_deductions_by_hh_size <= 1340.0000 & unc_rawben_rel_max >    1.9600","2-3","national",54,0.5556,0.4005,24,"core"
"unc_rawben_rel_max >=   1.76 & utilities >= 417.00 & utilities < 680.00","2-3","national",59,0.5424,0.3944,25,"core"
"months_since_cert_n >=    4.000 & rawben_rel_max <    0.385 & shelter_expenses_by_hh_size >= 2100.000","1","national",34,0.5882,0.3934,26,"core"
"shelter_expenses_by_hh_size > 1220.000 & unc_rawben_rel_max >    0.325 & unc_rawben_rel_max <=    0.993 & utilities <=  316.000","1","national",99,0.5051,0.391,27,"core"
"cat_elig <=   1.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 502.0 & utilities <= 696.0","2-3","national",95,0.5053,0.3889,28,"core"
"elderly_disabled_i >  0.50 & unc_rawben_rel_max >  1.43 & utilities <= 30.50","1","national",143,0.4825,0.3877,29,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national",209,0.4641,0.3858,30,"core"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.87 & utilities < 369.00","1","national",143,0.4755,0.3811,31,"core"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national",106,0.4906,0.3809,32,"core"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national",72,0.5139,0.3808,33,"core"
"HH_size_n >=   5 & shelter_expenses_by_hh_size < 342 & total_deductions_by_hh_size >= 320","4+","national",50,0.54,0.3803,34,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size <= 167.000","4+","national",31,0.5806,0.3781,35,"core"
"elderly_disabled_i > 0.500 & medical_deductions > 3.500 & rawben_rel_max > 0.262 & unc_rawben_rel_max > 2.570","1","national",44,0.5455,0.3756,36,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 630.000 & utilities < 800.000","1","national",464,0.4267,0.3745,37,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national",42,0.5476,0.374,38,"core"
"elderly_disabled_i >   0.500 & medical_deductions > 369.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max <=   0.991","1","national",71,0.507,0.3735,39,"core"
"children_i >=   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 484.00 & unc_rawben_rel_max >=   1.39","2-3","national",40,0.55,0.3722,40,"core"
"rawben_rel_max <   0.777 & total_deductions_by_hh_size >= 606.000 & utilities < 551.000","2-3","national",125,0.472,0.3715,41,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 578.000","2-3","national",229,0.4454,0.3712,42,"core"
"children_i <=   0.50 & count_divisible_by_100 <=   0.50 & total_deductions_by_hh_size <= 820.00 & unc_rawben_rel_max >   1.96","1","national",130,0.4692,0.3707,43,"core"
"medical_deductions >= 569.000 & rawben_rel_max >=   0.284 & shelter_expenses_by_hh_size < 862.000 & utilities < 965.000","2-3","national",38,0.5526,0.3704,44,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national",364,0.4286,0.3697,45,"core"
"elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.490","2-3","national",95,0.4842,0.3691,46,"core"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 646.000 & utilities < 277.000","1","national",345,0.429,0.3686,47,"core"
"total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national",278,0.4353,0.368,48,"core"
"expedited_i <=   0.5 & medical_deductions > 508.0 & months_since_cert_n <=   6.5 & total_deductions_by_hh_size >  33.0","2-3","national",34,0.5588,0.3666,49,"core"
"rawben_rel_max >=   0.494 & rawben_rel_max <   0.742 & total_deductions_by_hh_size >= 315.000 & total_deductions_by_hh_size < 332.000","4+","national",45,0.5333,0.3663,50,"core"
"medical_deductions <=   0.50 & total_deductions_by_hh_size <= 942.00 & unc_rawben_rel_max >   1.96 & utilities <= 793.00","1","national",224,0.4375,0.3628,51,"core"
"elderly_disabled_i >   0.50 & medical_deductions <= 282.00 & unc_rawben_rel_max >   1.26 & utilities <=  29.50","1","national",182,0.4451,0.3622,52,"core"
"children_i <   1 & shelter_expenses_by_hh_size < 673 & total_deductions_by_hh_size >= 535","2-3","national",64,0.5,0.3604,53,"core"
"medical_deductions <= 1190.000 & total_deductions_by_hh_size >  663.000 & unc_rawben_rel_max <=    0.997","2-3","national",293,0.4232,0.3581,54,"core"
"months_since_cert_n >=   7 & total_deductions_by_hh_size >= 218 & total_deductions_by_hh_size < 375 & utilities < 442","4+","national",135,0.4519,0.356,55,"core"
"months_since_cert_n >=   4.00000 & shelter_expenses_by_hh_size >= 382.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344","1","national",77,0.4805,0.3538,56,"core"
"elderly_disabled_i >   0.5 & percent_abawd <=   0.5 & shelter_expenses_by_hh_size <= 842.0 & unc_rawben_rel_max >   1.8","1","national",290,0.4172,0.352,57,"core"
"rawben_rel_max >=    0.753 & rawben_rel_max <    0.996 & shelter_expenses_by_hh_size >= 1130.000","2-3","national",49,0.5102,0.3516,58,"core"
"homeless >=   1 & medical_deductions < 110 & shelter_expenses_by_hh_size >= 852 & utilities < 800","1","national",80,0.475,0.3509,59,"core"
"rawben_rel_max <   1 & total_deductions_by_hh_size >= 653","2-3","national",317,0.4132,0.3509,60,"core"
"elderly_disabled_i >   0.50 & medical_deductions <=   4.50 & total_deductions_by_hh_size <= 850.00 & unc_rawben_rel_max >   1.79","1","national",304,0.4145,0.3508,61,"core"
"shelter_expenses_by_hh_size >= 970.000 & unc_rawben_rel_max <   0.998 & utilities < 505.000","2-3","national",85,0.4706,0.3502,62,"core"
"elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 922.0 & total_deductions_by_hh_size > 343.0 & utilities <=   8.0","1","national",227,0.4229,0.3493,63,"core"
"elderly_disabled_i >   0.5 & homeless >   0.5 & shelter_expenses_by_hh_size > 620.0 & utilities <= 428.0","1","national",47,0.5106,0.3489,64,"core"
"rawben_rel_max <   0.949 & shelter_expenses_by_hh_size < 370.000 & total_deductions_by_hh_size >= 305.000 & utilities >= 410.000","4+","national",110,0.4545,0.3488,65,"core"
"months_since_cert_n <    4.000 & rawben_rel_max >=    0.896 & rawben_rel_max <    0.992 & total_deductions_by_hh_size >= 1070.000","1","national",59,0.4915,0.3473,66,"core"
"medical_deductions > 116.000 & medical_deductions <= 124.000 & rawben_rel_max >   0.262 & shelter_expenses_by_hh_size <= 848.000","1","national",38,0.5263,0.3467,67,"core"
"expedited_i <=   0.500 & shelter_expenses_by_hh_size > 898.000 & total_deductions_by_hh_size > 602.000 & unc_rawben_rel_max <=   0.997","2-3","national",226,0.4204,0.3467,68,"core"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national",450,0.3978,0.3456,69,"core"
"medical_deductions > 181.0 & months_since_cert_n >   4.5 & total_deductions_by_hh_size > 468.0 & utilities >  30.5","2-3","national",96,0.4583,0.3454,70,"core"
"months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size < 954.00 & unc_rawben_rel_max >=   1.48 & utilities <  74.00","1","national",152,0.4342,0.3446,71,"core"
"shelter_expenses_by_hh_size < 488.00 & total_deductions_by_hh_size >= 320.00 & unc_rawben_rel_max <   1.02 & utilities >= 368.00","4+","national",247,0.413,0.3427,72,"core"
"children_i <=   0.500 & total_deductions_by_hh_size > 471.000 & unc_rawben_rel_max <=   0.863 & utilities <= 490.000","2-3","national",135,0.437,0.3421,73,"core"
"rawben_rel_max >   0.987 & unc_rawben_rel_max >   0.323 & unc_rawben_rel_max <=   0.991 & utilities <= 392.000","1","national",261,0.41,0.3417,74,"core"
"rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 600.000 & utilities <= 272.000","1","national",440,0.3932,0.3406,75,"core"
"medical_deductions >= 506.000 & months_since_cert_n <  10.000 & unc_rawben_rel_max >=   0.122 & utilities < 912.000","2-3","national",41,0.5122,0.3401,76,"core"
"months_since_cert_n >  10.500 & total_deductions_by_hh_size > 218.000 & unc_rawben_rel_max <=   0.994 & utilities >  30.500","4+","national",128,0.4375,0.3401,77,"core"
"shelter_expenses_by_hh_size < 1580.00 & unc_rawben_rel_max >=    2.52 & utilities >=  571.00 & utilities <  875.00","1","national",70,0.4714,0.3398,78,"core"
"rawben_rel_max <    1 & total_deductions_by_hh_size >= 1330 & utilities <  703","1","national",118,0.4407,0.3393,79,"core"
"elderly_disabled_i >   0.50 & medical_deductions <=   0.50 & percent_abawd >   0.75 & total_deductions_by_hh_size > 684.00","1","national",32,0.5312,0.3369,80,"core"
"children_i >   0.500 & months_since_cert_n <=   5.500 & shelter_expenses_by_hh_size <= 387.000 & unc_rawben_rel_max <=   0.582","1","national",32,0.5312,0.3369,81,"core"
"HH_size_n >= 5.000 & months_since_cert_n >= 6.000 & percent_abawd >= 0.273 & percent_abawd < 0.667","4+","national",56,0.4821,0.3354,82,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national",415,0.388,0.3341,83,"core"
"HH_size_n >   5.5 & HH_size_n <=   6.5 & months_since_cert_n >   1.5 & total_deductions_by_hh_size > 205.0","4+","national",154,0.4221,0.3337,84,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & unc_rawben_rel_max <   1.870 & utilities < 645.000","1","national",513,0.3821,0.3336,85,"core"
"rawben_rel_max <   0.405 & shelter_expenses_by_hh_size >= 970.000 & utilities < 680.000","2-3","national",74,0.4595,0.3321,86,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max <   0.595 & shelter_expenses_by_hh_size >= 425.000 & utilities < 600.000","4+","national",42,0.5,0.3311,87,"core"
"count_divisible_by_100 > 1.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.269 & unc_rawben_rel_max <= 0.998","4+","national",42,0.5,0.3311,88,"core"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 182.000 & utilities <= 278.000","4+","national",82,0.4512,0.3304,89,"core"
"medical_deductions > 227.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.823 & unc_rawben_rel_max <=   0.991","1","national",137,0.4234,0.3299,90,"core"
"medical_deductions >  132.00 & medical_deductions <=  438.00 & shelter_expenses_by_hh_size <= 2230.00 & unc_rawben_rel_max >    1.95","1","national",47,0.4894,0.3298,91,"core"
"expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 680.00","1","national",221,0.4027,0.3292,92,"core"
"rawben_rel_max >=   0.313 & shelter_expenses_by_hh_size >= 425.000 & total_deductions_by_hh_size >= 244.000 & total_deductions_by_hh_size < 261.000","4+","national",114,0.4298,0.3276,93,"core"
"months_since_cert_n >=   12.000 & rawben_rel_max <    0.471 & shelter_expenses_by_hh_size < 1130.000 & total_deductions_by_hh_size >=  421.000","2-3","national",60,0.4667,0.3259,94,"core"
"HH_size_n >=   5 & shelter_expenses_by_hh_size >= 163 & shelter_expenses_by_hh_size < 310 & total_deductions_by_hh_size >= 200","4+","national",262,0.3931,0.3258,95,"core"
"HH_size_n >=   6 & HH_size_n <   7 & total_deductions_by_hh_size >= 219","4+","national",145,0.4138,0.3234,96,"core"
"months_since_cert_n >=   7.00 & total_deductions_by_hh_size >=   5.00 & unc_rawben_rel_max >=   1.93 & utilities < 844.00","1","national",389,0.3779,0.3228,97,"core"
"medical_deductions >= 5.000 & medical_deductions < 8.000 & rawben_rel_max < 0.553","1","national",58,0.4655,0.3227,98,"core"
"percent_abawd <   0.0769 & rawben_rel_max <   0.9140 & shelter_expenses_by_hh_size < 476.0000 & total_deductions_by_hh_size >= 305.0000","4+","national",307,0.3844,0.3223,99,"core"
"medical_deductions >= 183.000 & rawben_rel_max >=   0.868 & rawben_rel_max <   0.990","1","national",154,0.4091,0.3215,100,"core"
"elderly_disabled_i <=    0.500 & months_since_cert_n >    8.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1640.000","1","national",31,0.5161,0.3211,101,"core"
"HH_size_n >=   6 & total_deductions_by_hh_size >= 261 & utilities >= 360","4+","national",66,0.4545,0.3209,102,"core"
"HH_size_n >=   8.00 & shelter_expenses_by_hh_size < 106.00 & total_deductions_by_hh_size >=  44.50 & unc_rawben_rel_max <   0.78","4+","national",66,0.4545,0.3209,103,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.983 & unc_rawben_rel_max <   0.993 & utilities < 800.000","1","national",647,0.3632,0.3205,104,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 310.0 & total_deductions_by_hh_size > 183.0","4+","national",160,0.4062,0.3204,105,"core"
"cat_elig <   2 & HH_size_n >=   3 & months_since_cert_n >=   4 & total_deductions_by_hh_size >= 452","2-3","national",117,0.4188,0.3186,106,"core"
"shelter_expenses_by_hh_size >= 1990.000 & total_deductions_by_hh_size >= 1210.000 & unc_rawben_rel_max <    0.936","1","national",128,0.4141,0.3183,107,"core"
"HH_size_n <   3.000 & rawben_rel_max <   0.619 & total_deductions_by_hh_size >= 518.000 & utilities < 580.000","2-3","national",254,0.3858,0.3179,108,"core"
"children_i <  1.00000 & months_since_cert_n >=  7.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max < -0.00344","1","national",85,0.4353,0.3178,109,"core"
"months_since_cert_n >=  11.000 & shelter_expenses_by_hh_size >= 263.000 & total_deductions_by_hh_size >= 176.000 & unc_rawben_rel_max <   0.997","4+","national",190,0.3947,0.3163,110,"core"
"medical_deductions >= 117.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.268 & total_deductions_by_hh_size < 735.000","1","national",107,0.4206,0.316,111,"core"
"shelter_expenses_by_hh_size < 457 & total_deductions_by_hh_size >= 305 & utilities >= 376","4+","national",293,0.3788,0.3157,112,"core"
"elderly_disabled_i >    0.5 & months_since_cert_n <=    5.5 & shelter_expenses_by_hh_size > 1830.0 & unc_rawben_rel_max <=    1.0","1","national",99,0.4242,0.3156,113,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 506.000","2-3","national",456,0.3662,0.3156,114,"core"
"married <=   0.5 & months_since_cert_n >  10.5 & shelter_expenses_by_hh_size > 378.0","4+","national",91,0.4286,0.3153,115,"core"
"count_divisible_by_100 > 0.50 & married > 0.50 & months_since_cert_n > 5.50 & rawben_rel_max <= 0.96","4+","national",110,0.4182,0.3152,116,"core"
"HH_size_n >   4.500 & months_since_cert_n >   3.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 265.000","4+","national",157,0.4013,0.315,117,"core"
"months_since_cert_n >   6.50 & percent_abawd <=   0.45 & rawben_rel_max >   0.66 & total_deductions_by_hh_size > 229.00","4+","national",262,0.3817,0.3149,118,"core"
"months_since_cert_n >   6.500 & rawben_rel_max >   0.712 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 258.000","4+","national",463,0.365,0.3148,119,"core"
"months_since_cert_n >   8.500 & rawben_rel_max >   0.507 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 228.000","4+","national",563,0.3588,0.3133,120,"core"
"cat_elig <    2.00 & rawben_rel_max <    0.99 & shelter_expenses_by_hh_size >= 2100.00","1","national",97,0.4227,0.3132,121,"core"
"HH_size_n >   4.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size > 218.000 & unc_rawben_rel_max <=   0.998","4+","national",226,0.385,0.3132,122,"core"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 928.000 & unc_rawben_rel_max <   1.340 & utilities < 672.000","2-3","national",232,0.3836,0.3128,123,"core"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.917 & shelter_expenses_by_hh_size > 161.000 & utilities <= 292.000","4+","national",100,0.42,0.3122,124,"core"
"rawben_rel_max <   0.482 & total_deductions_by_hh_size >= 504.000 & utilities < 493.000","2-3","national",165,0.3939,0.3102,125,"core"
"elderly_disabled_i <= 0.500 & expedited_i > 0.500 & months_since_cert_n <= 0.500 & unc_rawben_rel_max <= 0.908","2-3","national",42,0.4762,0.3102,126,"core"
"rawben_rel_max >   0.381 & shelter_expenses_by_hh_size <= 326.000 & unc_rawben_rel_max <=   0.748 & utilities >  27.000","2-3","state",42,0.4762,0.3102,127,"core"
"total_deductions_by_hh_size > 468.00 & unc_rawben_rel_max <=   0.78 & utilities <= 578.00","2-3","national",623,0.3531,0.31,128,"core"
"HH_size_n >  4.5 & months_since_cert_n > 23.5","4+","national",32,0.5,0.3099,129,"buffer"
"months_since_cert_n >=    3 & shelter_expenses_by_hh_size < 1520 & unc_rawben_rel_max >=    2 & utilities <  714","1","national",352,0.3665,0.3092,130,"buffer"
"homeless <=   0.500 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max <=   0.998 & utilities <= 276.000","1","national",625,0.352,0.309,131,"buffer"
"medical_deductions >=  5.00000 & medical_deductions <  8.00000 & unc_rawben_rel_max >= -0.00344","1","national",90,0.4222,0.3089,132,"buffer"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 504.000 & utilities < 277.000","1","national",721,0.3481,0.3081,133,"buffer"
"percent_abawd > 0.125 & rawben_rel_max <= 0.700 & unc_rawben_rel_max > 0.675","2-3","national",50,0.46,0.3081,134,"buffer"
"HH_size_n > 4.500 & months_since_cert_n > 8.500 & rawben_rel_max <= 0.976 & unc_rawben_rel_max > 0.678","4+","national",392,0.3622,0.308,135,"buffer"
"count_divisible_by_100 <   1.00 & elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.24 & utilities < 385.00","1","national",511,0.3542,0.3068,136,"buffer"
"count_divisible_by_100 <   1.000 & shelter_expenses_by_hh_size >= 731.000 & total_deductions_by_hh_size >= 372.000 & unc_rawben_rel_max <  -0.203","2-3","national",45,0.4667,0.3068,137,"buffer"
"HH_size_n >=   5 & married <   1 & months_since_cert_n >=   3 & total_deductions_by_hh_size >= 236","4+","national",193,0.3834,0.3062,138,"buffer"
"HH_size_n >   2.500 & total_deductions_by_hh_size > 522.000 & unc_rawben_rel_max <=   0.997 & utilities >  57.000","2-3","national",130,0.4,0.306,139,"buffer"
"months_since_cert_n >=  6.000 & rawben_rel_max >=  0.785 & rawben_rel_max <  0.963 & total_deductions_by_hh_size >= 80.300","4+","national",628,0.3487,0.306,140,"buffer"
"unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344 & utilities >= 284.00000","1","national",102,0.4118,0.3057,141,"buffer"
"HH_size_n >  4.5 & months_since_cert_n > 22.5","4+","national",40,0.475,0.3056,142,"buffer"
"rawben_rel_max >=   0.988 & total_deductions_by_hh_size >=   5.000 & unc_rawben_rel_max <   1.000 & utilities < 612.000","1","national",562,0.3505,0.3053,143,"buffer"
"children_i <=   0.500 & rawben_rel_max >   0.577 & shelter_expenses_by_hh_size <= 391.000","2-3","state",30,0.5,0.3046,144,"buffer"
"HH_size_n >=   6.000 & months_since_cert_n >=   2.000 & total_deductions_by_hh_size >= 183.000 & unc_rawben_rel_max <   0.528","4+","national",131,0.3969,0.3035,145,"buffer"
"HH_size_n > 5.500 & months_since_cert_n > 5.500 & rawben_rel_max > 0.558 & unc_rawben_rel_max <= 0.961","4+","national",498,0.3514,0.3035,146,"buffer"
"rawben_rel_max <   0.961 & shelter_expenses_by_hh_size >= 450.000 & total_deductions_by_hh_size >= 413.000 & utilities < 361.000","2-3","national",189,0.381,0.3032,147,"buffer"
"medical_deductions <= 182.00 & total_deductions_by_hh_size >   2.80 & unc_rawben_rel_max >   1.93 & utilities <= 680.00","1","national",563,0.3481,0.3031,148,"buffer"
"expedited_i >   0.500 & total_deductions_by_hh_size >   9.060 & total_deductions_by_hh_size <= 111.000 & unc_rawben_rel_max <=   0.948","4+","national",140,0.3929,0.3026,149,"buffer"
"medical_deductions <   9 & months_since_cert_n >=   6 & shelter_expenses_by_hh_size >= 522 & utilities < 325","2-3","national",120,0.4,0.3025,150,"buffer"
"HH_size_n >   4.500 & months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 260.000 & unc_rawben_rel_max <=   0.987","4+","national",537,0.3482,0.3021,151,"buffer"
"children_i <=   0.5 & total_deductions_by_hh_size > 471.0 & utilities <= 490.0","2-3","national",240,0.3708,0.3019,152,"buffer"
"married <=   0.500 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 874.000 & utilities <=   8.000","1","national",333,0.3604,0.3018,153,"buffer"
"cat_elig >    0.500 & rawben_rel_max <=    0.991 & total_deductions_by_hh_size > 1300.000","1","national",270,0.3667,0.3017,154,"buffer"
"rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 837.000 & utilities <= 598.000","2-3","national",376,0.3564,0.3013,155,"buffer"
"medical_deductions >=  3.000 & medical_deductions < 14.000 & rawben_rel_max >=  0.275 & rawben_rel_max <  0.694","1","national",81,0.4198,0.3012,156,"buffer"
"HH_size_n >   5.500 & months_since_cert_n >  10.500 & rawben_rel_max <=   0.947 & shelter_expenses_by_hh_size <= 177.000","4+","national",81,0.4198,0.3012,157,"buffer"
"elderly_disabled_i <=  0.500 & expedited_i >  0.500 & rawben_rel_max <=  0.535 & utilities > 18.500","1","national",112,0.4018,0.301,158,"buffer"
"rawben_rel_max <   0.866 & shelter_expenses_by_hh_size < 482.000 & total_deductions_by_hh_size >= 286.000","4+","national",444,0.3514,0.3007,159,"buffer"
"percent_abawd <    1.500 & rawben_rel_max <    0.994 & total_deductions_by_hh_size >=  577.000 & utilities < 1020.000","2-3","national",544,0.3456,0.2999,160,"buffer"
"children_i <= 0.500 & elderly_disabled_i <= 0.500 & expedited_i > 0.500 & unc_rawben_rel_max <= 0.997","2-3","national",73,0.4247,0.2999,161,"buffer"
"married <   1.00 & total_deductions_by_hh_size >= 339.00 & unc_rawben_rel_max >=   1.42","2-3","national",191,0.377,0.2998,162,"buffer"
"rawben_rel_max <   0.595 & shelter_expenses_by_hh_size >= 414.000 & shelter_expenses_by_hh_size < 425.000 & total_deductions_by_hh_size < 272.000","4+","national",33,0.4848,0.2994,163,"buffer"
