"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national","ranger","any_error",119,0.6639,0.558,4,4,1,"core"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size >  14.50 & unc_rawben_rel_max >   1.93 & utilities <= 302.00","1","national","ranger","any_error",33,0.7576,0.5564,1,1,2,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national","xgboost","any_error",137,0.6423,0.5433,3,3,3,"core"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national","ranger","any_error",159,0.6101,0.5179,3,1,4,"core"
"cat_elig <=   1.5 & elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 260.0 & total_deductions_by_hh_size > 245.0","4+","state","ranger","any_error",32,0.7188,0.5132,32,32,5,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 360.000","1","national","xgboost","any_error",144,0.5694,0.4727,8,4,6,"core"
"medical_deductions >= 240.000 & unc_rawben_rel_max >=   0.664 & utilities < 724.000","2-3","national","xgboost","any_error",44,0.6364,0.4616,1,1,7,"core"
"cat_elig <=   1.5 & elderly_disabled_i <=   0.5 & expedited_i <=   0.5 & total_deductions_by_hh_size > 244.0","4+","state","ranger","any_error",37,0.6486,0.4581,37,5,8,"core"
"shelter_expenses_by_hh_size > 220 & shelter_expenses_by_hh_size <= 463 & total_deductions_by_hh_size > 244","4+","state","ranger","any_error",43,0.6279,0.4514,43,17,9,"core"
"children_i <=   0.5 & shelter_expenses_by_hh_size <= 679.0 & total_deductions_by_hh_size > 615.0","2-3","national","ranger","any_error",36,0.6389,0.4462,1,1,10,"core"
"cat_elig <=   1.500 & elderly_disabled_i <=   0.500 & total_deductions_by_hh_size > 236.000 & unc_rawben_rel_max >   0.267","4+","state","ranger","any_error",36,0.6389,0.4462,36,3,11,"core"
"cat_elig <=   1.5 & shelter_expenses_by_hh_size > 260.0 & total_deductions_by_hh_size > 245.0","4+","state","ranger","any_error",38,0.6316,0.4441,38,1,12,"core"
"elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.971 & shelter_expenses_by_hh_size <= 461.000 & total_deductions_by_hh_size > 245.000","4+","state","ranger","any_error",38,0.6316,0.4441,38,1,13,"core"
"rawben_rel_max >=    0.648 & rawben_rel_max <    0.992 & total_deductions_by_hh_size >= 1030.000 & utilities <  369.000","1","national","xgboost","any_error",42,0.619,0.4409,2,1,14,"core"
"months_since_cert_n >   4.500 & rawben_rel_max >   0.429 & total_deductions_by_hh_size > 125.000 & unc_rawben_rel_max <=   0.834","4+","state","ranger","any_error",42,0.619,0.4409,42,24,15,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",70,0.5714,0.4337,6,5,16,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,1,1,17,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,4,2,18,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 312.000 & utilities < 475.000","1","national","xgboost","any_error",290,0.4931,0.4256,6,1,19,"core"
"months_since_cert_n >=  5.000 & rawben_rel_max >=  0.430 & rawben_rel_max <  0.619 & shelter_expenses_by_hh_size >= 80.200","4+","state","xgboost","any_error",32,0.625,0.4219,32,10,20,"core"
"rawben_rel_max <=   0.71 & shelter_expenses_by_hh_size <= 443.00 & total_deductions_by_hh_size > 229.00","4+","state","ranger","any_error",32,0.625,0.4219,32,4,21,"core"
"rawben_rel_max <=   0.616 & shelter_expenses_by_hh_size <= 512.000 & total_deductions_by_hh_size > 236.000","4+","state","ranger","any_error",34,0.6176,0.4207,34,3,22,"core"
"medical_deductions <= 144.00 & shelter_expenses_by_hh_size >   5.50 & unc_rawben_rel_max >   1.95 & utilities <= 294.00","1","national","ranger","any_error",64,0.5625,0.419,4,2,23,"buffer"
"cat_elig <=   1.5 & elderly_disabled_i <=   0.5 & total_deductions_by_hh_size > 235.0","4+","state","ranger","any_error",42,0.5952,0.4182,42,1,24,"buffer"
"cat_elig <=   1.5 & elderly_disabled_i <=   0.5 & HH_size_n <=   8.5 & total_deductions_by_hh_size > 228.0","4+","state","ranger","any_error",44,0.5909,0.418,44,1,25,"buffer"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national","ranger","any_error",110,0.5273,0.4179,2,2,26,"buffer"
