"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national",35,0.7429,0.5472,1,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national",137,0.6423,0.5433,2,"core"
"medical_deductions > 128.000 & total_deductions_by_hh_size > 627.000 & unc_rawben_rel_max >   0.158 & utilities <= 548.000","2-3","national",36,0.7222,0.5287,3,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national",31,0.7097,0.5008,4,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 589.000 & utilities < 452.000","1","national",204,0.5735,0.4921,5,"core"
"medical_deductions >= 140.000 & rawben_rel_max >=   0.134 & total_deductions_by_hh_size >= 484.000 & utilities < 577.000","2-3","national",73,0.6027,0.4669,6,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national",35,0.6571,0.4612,7,"core"
"rawben_rel_max >    0.987 & shelter_expenses_by_hh_size > 1660.000 & unc_rawben_rel_max <=    0.998","1","national",52,0.6154,0.4548,8,"core"
"children_i <=   0.5 & shelter_expenses_by_hh_size <= 679.0 & total_deductions_by_hh_size > 615.0","2-3","national",36,0.6389,0.4462,9,"core"
"percent_abawd <=    0.500 & rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 1650.000 & unc_rawben_rel_max >    0.987","1","national",54,0.5926,0.4356,10,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national",70,0.5714,0.4337,11,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national",296,0.4932,0.4264,12,"core"
"months_since_cert_n >=  10.000 & total_deductions_by_hh_size >= 835.000 & unc_rawben_rel_max >=  -0.708","2-3","national",30,0.6333,0.4235,13,"core"
"cat_elig <=   1.5 & HH_size_n >   4.5 & shelter_expenses_by_hh_size <= 263.0 & total_deductions_by_hh_size >  61.5","4+","state",30,0.6333,0.4235,14,"core"
"shelter_expenses_by_hh_size >  87.4 & total_deductions_by_hh_size >  35.6 & total_deductions_by_hh_size <= 182.0 & utilities <= 468.0","4+","state",32,0.625,0.4219,15,"core"
"medical_deductions <= 144.00 & shelter_expenses_by_hh_size >   5.50 & unc_rawben_rel_max >   1.95 & utilities <= 294.00","1","national",64,0.5625,0.419,16,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national",114,0.5263,0.4188,17,"core"
"medical_deductions >=   5.000 & medical_deductions <   7.000 & rawben_rel_max <   0.753 & utilities >= 347.000","1","national",40,0.6,0.4186,18,"core"
"total_deductions_by_hh_size >=  66.2 & total_deductions_by_hh_size < 183.0 & utilities < 505.0","4+","state",40,0.6,0.4186,19,"core"
"count_divisible_by_100 <= 0.500 & HH_size_n <= 4.500 & rawben_rel_max > 0.555 & rawben_rel_max <= 0.998","4+","state",40,0.6,0.4186,20,"buffer"
"cat_elig <=  2.500 & months_since_cert_n <=  5.500 & rawben_rel_max <=  0.847 & total_deductions_by_hh_size > 69.300","4+","state",56,0.5714,0.4181,21,"buffer"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national",110,0.5273,0.4179,22,"buffer"
"months_since_cert_n <=   5.500 & shelter_expenses_by_hh_size > 114.000 & unc_rawben_rel_max <=   0.824 & utilities > 468.000","4+","state",31,0.6129,0.4076,23,"buffer"
"months_since_cert_n >=  11 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 261","4+","national",43,0.5814,0.4071,24,"buffer"
"married <=  0.500 & months_since_cert_n <=  5.500 & total_deductions_by_hh_size > 58.500 & unc_rawben_rel_max <=  0.947","4+","state",43,0.5814,0.4071,25,"buffer"
"rawben_rel_max >=   0.568 & rawben_rel_max <   0.960 & shelter_expenses_by_hh_size >= 108.000 & total_deductions_by_hh_size < 203.000","4+","state",35,0.6,0.4069,26,"buffer"
"homeless <=  0.500 & months_since_cert_n <=  5.500 & rawben_rel_max <=  0.888 & total_deductions_by_hh_size > 68.300","4+","state",64,0.5469,0.4042,27,"buffer"
"children_i <=   0.500 & medical_deductions <= 300.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 685.000","2-3","national",71,0.5352,0.4,28,"buffer"
"HH_size_n >  5.500 & months_since_cert_n > 10.500 & rawben_rel_max <=  0.952 & shelter_expenses_by_hh_size <= 92.000","4+","national",38,0.5789,0.3945,29,"buffer"
"HH_size_n <=   4.5 & months_since_cert_n <=   5.5 & shelter_expenses_by_hh_size <= 424.0 & unc_rawben_rel_max <=   1.0","4+","state",38,0.5789,0.3945,30,"buffer"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national",36,0.5833,0.3939,31,"buffer"
"rawben_rel_max <    0.992 & shelter_expenses_by_hh_size >= 2330.000 & total_deductions_by_hh_size >= 1240.000","1","national",53,0.5472,0.3912,32,"buffer"
"cat_elig <   2.0 & shelter_expenses_by_hh_size < 275.0 & total_deductions_by_hh_size >=  66.2","4+","state",53,0.5472,0.3912,33,"buffer"
"rawben_rel_max <   0.934 & total_deductions_by_hh_size >=  66.200 & total_deductions_by_hh_size < 185.000","4+","state",66,0.5303,0.3906,34,"buffer"
"total_deductions_by_hh_size >  35.6 & total_deductions_by_hh_size <= 182.0 & utilities <= 468.0","4+","state",49,0.551,0.389,35,"buffer"
