"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 589 & unc_rawben_rel_max > 0.156 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",32,0.875,0.6838,251.75,0,0,0,5,5,28,"shelter deduction 0.45; dep care or child support deduction 0.20; medical deduction 0.20","wrong amount, known item 0.42; wrong include/exclude decision 0.35",0.4,1,0.775,0.6
2,"core","elderly_disabled_i >= 1 & months_since_cert_n <= 7.5 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",80,0.675,0.5455,143.44,0,0,0,6,3,54,"shelter deduction 0.56; medical deduction 0.12; unearned income 0.12","wrong include/exclude decision 0.50; wrong amount, known item 0.30",0.225,0.981481481481482,0.775,0.4625
3,"core","gross_by_hh_size >= 839 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 361","1","national","xgboost","any_error",94,0.6596,0.54,119.13,0,0,0,4,4,62,"shelter deduction 0.63; utility allowance 0.26","wrong include/exclude decision 0.63; wrong amount, known item 0.14",0.319587628865979,1,0.618556701030928,0.536082474226804
4,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,5,5,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
5,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1","national","xgboost","any_error",133,0.594,0.4931,112.47,0.0075,0,0,6,3,79,"shelter deduction 0.42; utility allowance 0.28; medical deduction 0.17","wrong include/exclude decision 0.65; wrong amount, known item 0.15",0.354609929078014,0.987341772151899,0.588652482269504,0.560283687943262
6,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.4 & utilities < 580","1","national","xgboost","any_error",44,0.6591,0.4839,146.25,0,0,0,1,1,29,"earned income 0.60; other element 0.15","change in circumstances 0.31; unreported source of income 0.21; wrong include/exclude decision 0.17; wrong amount, known item 0.12",0.25,1,0.270833333333333,0.354166666666667
7,"core","HH_size_n >= 3 & shelter_expenses_by_hh_size < 590 & total_deductions_by_hh_size >= 489 & unearned_by_hh_size >= 30","2-3","national","xgboost","any_error",39,0.6667,0.4806,171.79,0,0,0,5,3,26,"dep care or child support deduction 0.28; unearned income 0.26; earned income 0.21; shelter deduction 0.14","wrong include/exclude decision 0.36; wrong amount, known item 0.22; unreported source of income 0.14; other 0.14",0.172413793103448,0.884615384615385,0.637931034482759,0.482758620689655
8,"core","medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3","national","ranger","any_error",38,0.6579,0.4696,99.58,0,0,0,2,2,25,"shelter deduction 0.51; medical deduction 0.23; unearned income 0.20","wrong include/exclude decision 0.57; wrong amount, known item 0.29",0.342857142857143,0.92,0.628571428571429,0.571428571428571
9,"core","months_since_cert_n <= 20 & total_deductions_by_hh_size > 658 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 131","2-3","national","ranger","any_error",144,0.5556,0.459,119.19,0,0,0,14,9,80,"shelter deduction 0.34; medical deduction 0.20; unearned income 0.19; earned income 0.16","wrong include/exclude decision 0.38; wrong amount, known item 0.36; unreported source of income 0.09",0.3125,0.9375,0.671875,0.5
10,"core","earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08","4+","national","xgboost","any_error",66,0.5758,0.4339,177.64,0,0,0,2,2,38,"earned income 0.75; shelter deduction 0.10","unreported source of income 0.39; wrong amount, known item 0.16; wrong include/exclude decision 0.16; change in circumstances 0.14",0.470588235294118,0.973684210526316,0.568627450980392,0.490196078431373
11,"core","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & gross_by_hh_size >= 20 & unc_rawben_rel_max >= 0.0819","1","national","xgboost","any_error",70,0.5714,0.4337,120.87,0,0,0,2,2,40,"earned income 0.61; other element 0.12; shelter deduction 0.10","wrong include/exclude decision 0.24; change in circumstances 0.22; unreported source of income 0.22; wrong amount, known item 0.16",0.26865671641791,0.975,0.388059701492537,0.26865671641791
12,"core","rawben_rel_max >= 1 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 222 & utilities < 452","1","national","xgboost","any_error",744,0.4758,0.4335,78.29,0,0,0,15,8,354,"unearned income 0.47; shelter deduction 0.32","wrong include/exclude decision 0.53; wrong amount, known item 0.18; unreported source of income 0.12",0.384146341463415,0.994350282485876,0.534552845528455,0.596348884381339
13,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 6 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",217,0.5115,0.4333,114.67,0,0,0,17,15,111,"earned income 0.64; other element 0.16","unreported source of income 0.27; change in circumstances 0.25; wrong include/exclude decision 0.15; wrong amount, known item 0.12",0.247191011235955,0.990990990990991,0.213483146067416,0.279329608938547
14,"core","bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1","national","ranger","any_error",37,0.6216,0.4322,119.46,0,0,0,1,1,23,"medical deduction 0.63; shelter deduction 0.20","wrong include/exclude decision 0.60; wrong amount, known item 0.23",0.6,0.869565217391304,0.657142857142857,0.8
15,"core","earned_by_hh_size >= 255 & elderly_disabled_i >= 1 & gross_by_hh_size < 627 & months_since_cert_n >= 10","4+","national","xgboost","any_error",37,0.6216,0.4322,109.86,0.027,0.0435,0.027,1,1,23,"earned income 0.40; unearned income 0.20; shelter deduction 0.17","wrong amount, known item 0.34; wrong include/exclude decision 0.26; change in circumstances 0.11; other 0.09",0.485714285714286,0.695652173913043,0.4,0.714285714285714
16,"core","earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",133,0.5263,0.4266,110.8,0,0,0,11,6,70,"earned income 0.65; other element 0.14","unreported source of income 0.26; change in circumstances 0.22; wrong amount, known item 0.17; wrong include/exclude decision 0.17",0.267857142857143,0.985714285714286,0.392857142857143,0.303571428571429
17,"core","earned_by_hh_size >= 535 & shelter_expenses_by_hh_size < 925 & unc_rawben_rel_max >= 1.4","1","national","xgboost","any_error",61,0.5738,0.4265,131.8,0,0,0,2,1,35,"earned income 0.63; other element 0.13","change in circumstances 0.24; unreported source of income 0.22; wrong amount, known item 0.19; wrong include/exclude decision 0.15",0.39622641509434,1,0.566037735849057,0.407407407407407
18,"core","medical_deductions > 138 & rawben_rel_max > 0.159 & total_deductions_by_hh_size > 515 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",126,0.5238,0.4215,89.02,0.0079,0.0152,0.0079,15,8,66,"medical deduction 0.37; shelter deduction 0.30; unearned income 0.21","wrong include/exclude decision 0.49; wrong amount, known item 0.22; unreported source of income 0.11",0.438095238095238,0.96969696969697,0.666666666666667,0.59047619047619
19,"core","bbce_state_i >= 1 & medical_deductions > 625 & unc_rawben_rel_max <= 1.24 & unearned_by_hh_size > 288","1","national","ranger","any_error",67,0.5522,0.4124,102.13,0,0,0,4,3,37,"medical deduction 0.59; shelter deduction 0.20","wrong include/exclude decision 0.56; wrong amount, known item 0.25",0.610169491525424,0.891891891891892,0.644067796610169,0.745762711864407
20,"core","earned_by_hh_size > 42.8 & expedited_i <= 0 & months_since_cert_n > 5.5 & total_deductions_by_hh_size > 431","4+","national","ranger","any_error",39,0.5897,0.4068,176.95,0,0,0,3,3,23,"dep care or child support deduction 0.30; earned income 0.27; unearned income 0.16; other element 0.11","wrong amount, known item 0.32; wrong include/exclude decision 0.27; change in circumstances 0.16",0.314285714285714,0.91304347826087,0.428571428571429,0.432432432432432
21,"core","rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1650 & unc_rawben_rel_max <= 1.05 & utilities <= 997","1","national","ranger","any_error",150,0.4933,0.4003,100.91,0,0,0,16,16,74,"unearned income 0.42; shelter deduction 0.39","wrong include/exclude decision 0.43; unreported source of income 0.24; wrong amount, known item 0.19",0.315789473684211,0.986486486486487,0.631578947368421,0.416666666666667
22,"core","earned_by_hh_size > 693 & shelter_expenses_by_hh_size <= 476 & total_deductions_by_hh_size > 441","4+","national","ranger","any_error",50,0.56,0.3989,124.56,0,0,0,3,2,28,"dep care or child support deduction 0.38; earned income 0.31; shelter deduction 0.17","wrong amount, known item 0.50; wrong include/exclude decision 0.29",0.288461538461538,0.785714285714286,0.730769230769231,0.403846153846154
23,"core","gross_by_hh_size >= 2080 & shelter_expenses_by_hh_size >= 2340 & total_deductions_by_hh_size >= 1040","1","national","xgboost","any_error",48,0.5625,0.3982,95.85,0.1042,0.1852,0.1042,11,10,27,"shelter deduction 0.31; earned income 0.29; unearned income 0.17","wrong amount, known item 0.33; wrong include/exclude decision 0.31; unreported source of income 0.17",0.380952380952381,0.888888888888889,0.476190476190476,0.476190476190476
24,"core","gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1","national","ranger","any_error",147,0.4898,0.396,84.54,0.0068,0,0,4,2,72,"shelter deduction 0.39; utility allowance 0.29; medical deduction 0.17","wrong include/exclude decision 0.63; wrong amount, known item 0.16",0.302325581395349,0.916666666666667,0.581395348837209,0.534883720930233
