"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"rawben_rel_max >   0.800 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 856.000 & utilities <= 276.000","1","national","ranger","any_error",159,0.6101,0.5179,106.44,1,1,1,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",31,0.7097,0.5008,124.16,1,1,2,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & total_deductions_by_hh_size > 348.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",54,0.6481,0.4899,148.78,1,1,3,"core"
"shelter_expenses_by_hh_size > 602.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",30,0.7,0.4877,203.53,1,1,4,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,79.1,2,1,5,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national","ranger","any_error",114,0.5263,0.4188,96.17,2,1,6,"core"
"total_deductions_by_hh_size >= 203.00 & total_deductions_by_hh_size < 842.00 & unc_rawben_rel_max >=   1.93 & utilities < 346.00","1","national","xgboost","any_error",44,0.5909,0.418,91.77,1,1,7,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.993 & rawben_rel_max <= 0.997","2-3","national","ranger","any_error",101,0.5248,0.4109,102.66,3,2,8,"core"
"HH_size_n >  5.500 & months_since_cert_n > 10.500 & rawben_rel_max <=  0.952 & shelter_expenses_by_hh_size <= 92.000","4+","national","ranger","any_error",38,0.5789,0.3945,127.47,1,1,9,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.510 & utilities <= 9.000","1","national","ranger","any_error",119,0.4958,0.3917,90.61,1,1,10,"core"
"medical_deductions > 140.000 & rawben_rel_max >   0.189 & shelter_expenses_by_hh_size > 855.000 & utilities <= 902.000","2-3","national","ranger","any_error",66,0.5303,0.3906,93.95,1,1,11,"core"
"medical_deductions > 610.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.292 & unc_rawben_rel_max <=   0.996","1","national","ranger","any_error",64,0.5312,0.3895,96.66,1,1,12,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national","ranger","any_error",209,0.4641,0.3858,81.88,2,2,13,"core"
"elderly_disabled_i >= 0.500 & married < 0.500 & rawben_rel_max >= 0.975 & unc_rawben_rel_max >= 1.520","2-3","national","xgboost","any_error",88,0.5,0.3797,138.91,1,1,14,"core"
"elderly_disabled_i >    0.5 & shelter_expenses_by_hh_size > 1030.0 & total_deductions_by_hh_size >  494.0 & utilities <=    8.0","1","national","ranger","any_error",132,0.4773,0.3791,85.78,1,1,15,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size <= 167.000","4+","national","ranger","any_error",31,0.5806,0.3781,107.58,1,1,16,"core"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 622.000 & unc_rawben_rel_max >   0.776 & utilities <=  32.500","1","national","ranger","any_error",175,0.4629,0.3776,85.33,2,1,17,"core"
"expedited_i <=   0.500 & rawben_rel_max >   0.993 & total_deductions_by_hh_size <= 751.000 & unc_rawben_rel_max >   1.930","1","national","ranger","any_error",75,0.5067,0.3765,71.64,2,1,18,"core"
"HH_size_n >=   4.5 & shelter_expenses_by_hh_size >= 229.0 & shelter_expenses_by_hh_size < 274.0 & total_deductions_by_hh_size >= 219.0","4+","national","xgboost","any_error",55,0.5273,0.3754,105.62,2,2,19,"core"
